,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,training_count
1612,0.0,0.0,0.0,9,1,0,Is Julia Gillard the prime minister of Kate Lundy?,[['dbo:primeMinister']],[],[[10]]
1624,0.0,0.0,0.0,9,1,0,Does the Ontario International Airport serve the Inland Empire?,[['dbp:cityServed']],[],[[4]]
1625,0.0,0.0,0.0,13,2,2,What are the awards won by the producer of Elizabeth: The Golden Age?,"[['dbp:producer'], ['dbp:awards']]","['dbo:award', 'dbo:producer']","[[24], [50]]"
1635,0.0,0.0,0.0,13,2,0,List the destinations of the airlines which also serves Mediterranean  Sea ?,"[['dbp:destinations'], ['dbp:destinations']]",[],"[[18], [18]]"
1639,0.0,0.0,0.0,17,2,0,What is the result of the GazaIsrael conflict is also  the  place of the Qaqun?,"[['dbp:result'], ['dbp:place']]",[],"[[3], [10]]"
1642,0.0,0.0,0.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbo:city'],[[4]]
1645,0.0,0.0,0.0,7,1,0,What country is tyuleniy archipelago located in?,"[['dbo:country', 'dbo:location']]",[],"[[2554, 1670]]"
1650,0.0,0.0,0.0,14,2,0,Which key person of Clinton Foundation is also the president of Jim Sasser ?,"[['dbp:keyPeople'], ['dbo:president']]",[],"[[27], [19]]"
1672,0.0,0.0,0.0,11,2,0,Which artists were born on the same date as Rachel Stevens?,"[['dbo:birthDate'], ['dbo:birthDate']]",[],"[[9], [9]]"
1676,0.0,0.0,0.0,17,2,0,Count the number of fileds of the scientist whose one of the interest is Chinese poetry ?,"[['dbp:fields'], ['dbp:fields']]",[],"[[20], [20]]"
1685,0.0,0.0,0.0,11,2,1,Whihc successor of McDonnell Douglas was built bu Delta 3 ?,"[['dbo:manufacturer'], ['dbp:successor']]",['dbo:successor'],"[[58], [34]]"
1687,0.0,0.0,0.0,5,1,1,what language is indochine in,[['dbo:language']],['dbo:languageFamily'],[[520]]
1702,0.0,0.0,0.0,4,1,0,which country locates hayashima,[['dbo:region']],[],[[1153]]
1705,0.0,0.0,0.0,6,1,1,what city was louis-gabriel-charles vicaire born,[['dbo:deathPlace']],['dbo:birthPlace'],[[1213]]
1733,0.0,0.0,0.0,6,2,0,Where has GARAGE recorded its singles?,"[['dbo:producer'], ['dbo:recordedIn']]",[],"[[506], [13]]"
1749,0.0,0.0,0.0,6,1,1,What is the origin of Xynisteri?,[['dbo:origin']],['dbo:hometown'],[[21]]
1754,0.0,0.0,0.0,17,2,0,What place is the birthplace of Vijay Chavan where Eka Lagnachi Teesri Goshta is located as well?,"[['dbp:location'], ['dbp:placeOfBirth']]",[],"[[22], [41]]"
1760,0.0,0.0,0.0,5,1,1,what is terrie moffitt's nationality?,[['dbo:citizenship']],['dbo:nationality'],[[16]]
1773,0.0,0.0,0.0,6,1,0,Who is the editor of Forbes?,[['dbo:editor']],[],[[3]]
1781,0.0,0.0,0.0,7,1,1,which country is garcia de orta from,[['dbo:birthPlace']],['dbo:nationality'],[[4201]]
1785,0.0,0.0,0.0,16,2,1,"List all the hubs of the airline whose one of the hub is Subang, Indonesia ?","[['dbp:hubs'], ['dbp:hubs']]",['dbo:hubAirport'],"[[10], [10]]"
1798,0.0,0.0,0.0,6,1,1,What's an album by portable sunsets,[['dbo:type']],['dbo:artist'],[[1160]]
1799,0.0,0.0,0.0,8,1,0,How many mammals are in the Chordate phylum?,[['dbp:phylum']],[],[[4]]
1805,0.0,0.0,0.0,7,2,0,How many producers have casted Michael Jackson?,"[['dbp:starring'], ['dbp:producer']]",[],"[[31], [24]]"
1808,0.0,0.0,0.0,6,1,0,what music does jesse jagz do?,[['dbo:genre']],[],[[5588]]
1810,0.0,0.0,0.0,8,1,0,what are some common surnames of female people?,[['dbp:gender']],[],[[2]]
1812,0.0,0.0,0.0,15,2,0,Name the licensee of the TV station whose one of the licensee is Incorporation ?,"[['dbp:licensee'], ['dbp:licensee']]",[],"[[11], [11]]"
1825,0.0,0.0,0.0,14,2,0,What railway lines go through the stations maintained by Western Australian Public Transport Authority?,"[['dbo:owningOrganisation'], ['dbo:servingRailwayLine']]",[],"[[9], [10]]"
1832,0.0,0.0,0.0,11,2,0,Who represent the constituencies of Noe Valley and Duboce Triangle ?,"[['dbp:constituency'], ['dbp:constituency']]",[],"[[23], [23]]"
1836,0.0,0.0,0.0,14,1,0,Is the national endowment of arts under the jurisdiction of federal government of US?,[['dbp:jurisdiction']],[],[[4]]
1837,0.0,0.0,0.0,6,1,0,Who wrote a streetcar named desire?,[['dbp:writer']],[],[[61]]
1840,0.0,0.0,0.0,8,1,0,What are the notableworks of Russell T Davies?,[['dbp:notableworks']],[],[[16]]
1857,0.0,0.0,0.0,10,1,1,How many movies have been directed by Orson Welles ?,[['dbp:director']],['dbo:director'],[[19]]
1861,0.0,0.0,0.0,8,1,0,How many saints have been venerated in Judaism?,[['dbo:veneratedIn']],[],[[8]]
1864,0.0,0.0,0.0,9,1,0,Name the nearest city to Tennie and Laura ?,[['dbp:nearestCity']],[],[[9]]
1876,0.0,0.0,0.0,8,1,0,What are the towns who have Thesaban system?,[['dbp:settlementType']],[],[[4]]
1879,0.0,0.0,0.0,13,2,0,What are the television shows which are in NTSC and 5.1 surround sound?,"[['dbo:format'], ['dbo:format']]",[],"[[4], [4]]"
1902,0.0,0.0,0.0,6,1,0,Which valley is schuylkill located in,"[['dbo:country', 'dbo:isPartOf']]",[],"[[2554, 1891]]"
1913,0.0,0.0,0.0,9,1,0,"Where was Ne daj se, Nina first aired ?",[['dbp:firstAired']],[],[[7]]
1916,0.0,0.0,0.0,10,2,0,In which countries is coconut used as a food ingredient?,"[['dbo:ingredient'], ['dbp:country']]",[],"[[21], [18]]"
1927,0.0,0.0,0.0,8,1,1,who is the author of the mysterious island,[['dbo:writer']],['dbo:author'],[[1148]]
1928,0.0,0.0,0.0,15,2,1,Which region of English American is also the palce of Death of Brent Darby ?,"[['dbp:placeOfDeath'], ['dbp:region']]",['dbo:deathPlace'],"[[32], [13]]"
1929,0.0,0.0,0.0,10,2,0,Who has military branches are Colonial troops and Continental Army?,"[['dbo:militaryBranch'], ['dbo:militaryBranch']]",[],"[[19], [19]]"
1939,0.0,0.0,0.0,13,1,0,What city in the greater los angeles area is used to film movies?,"[['dbo:city', 'dbo:isPartOf', 'dbo:location']]",[],"[[1218, 1891, 1670]]"
1971,0.0,0.0,0.0,10,1,1,what are some of the plays written by noel coward?,[['dbo:author']],['dbp:writer'],[[426]]
1988,0.0,0.0,0.0,6,1,2,what country is imun contained by,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",[[1072]]
1989,0.0,0.0,0.0,10,1,0,which body of water does tenkiller ferry lake outflow to?,[['dbo:outflow']],[],[[16]]
1990,0.0,0.0,0.0,7,1,0,which city in texas does kxan-tv services?,[['dbo:location']],[],[[1670]]
1992,0.5,0.5,0.5,13,2,2,What is the common award won by geoffrey Rush and Laemmle Theatres ?,"[['dbp:awards'], ['dbo:service']]","['dbo:award', 'dbp:awards']","[[50], [9]]"
2003,0.0,0.0,0.0,5,1,1,name a japanese action film,"[['dbo:genre', 'dbp:genre']]",['dbo:language'],"[[5588, 246]]"
2006,0.0,0.0,0.0,11,2,0,Who is the person whose opponent's father is Newman Haynes Clanton?,"[['dbo:parent'], ['dbo:opponent']]",[],"[[187], [16]]"
2016,0.0,0.0,0.0,12,2,0,What river ends in Indian Ocean and also starts somewhere in Zambia?,"[['dbo:riverMouth'], ['dbo:sourceCountry']]",[],"[[39], [22]]"
2029,0.0,0.0,0.0,11,2,0,What is the largest city of the birthplace of Pat Kirkwood?,"[['dbp:birthplace'], ['dbo:largestCity']]",[],"[[11], [23]]"
2033,0.0,0.0,0.0,8,1,0,Name the species of Southwest African lion ?,[['dbo:species']],[],[[14]]
2054,0.0,0.0,0.0,15,2,0,List the battles in which alumni of US Army Command and General Staff College fought?,"[['dbo:almaMater'], ['dbp:battles']]",[],"[[45], [35]]"
2075,0.0,0.0,0.0,7,1,1,Which country was ondřej soukup born in,[['dbo:nationality']],['dbo:birthPlace'],[[266]]
2078,0.0,0.0,0.0,16,2,0,Who is the producer of the single which was the subsequent work of He's a Liar?,"[['dbo:subsequentWork'], ['dbo:producer']]",[],"[[31], [506]]"
2090,0.0,0.0,0.0,9,2,0,Who has Kelly Osbourne and Ozzy Osbourne as relatives?,"[['dbo:relative'], ['dbo:relative']]",[],"[[22], [22]]"
2107,0.0,0.0,0.0,10,1,1,what kind of music release was every given moment released,[['dbo:type']],['dbo:genre'],[[1160]]
2127,0.0,0.0,0.0,17,2,1,Which series has an episode called The lost special and also a character named Sherlock Holmes ?,"[['dbp:characters'], ['dbp:series']]",['dbo:series'],"[[11], [5]]"
2134,0.0,0.0,0.0,7,1,1,What song was written by vonda shepard?,[['dbo:artist']],['dbo:writer'],[[1147]]
2140,0.0,0.0,0.0,13,2,0,"What is the successor of the governors whose child is Levi Lincoln, Jr.?","[['dbp:children'], ['dbp:successor']]",[],"[[33], [34]]"
2146,0.0,0.0,0.0,9,2,0,Where were the doctoral students of James Langer born?,"[['dbo:doctoralStudent'], ['dbp:placeOfBirth']]",[],"[[9], [41]]"
2165,0.0,0.0,0.0,18,2,0,Name the television show whose subsequent work is Frasier and opening theme is Where Everybody Knows Your Name?,"[['dbo:openingTheme'], ['dbo:subsequentWork']]",[],"[[11], [31]]"
2167,0.0,0.0,0.0,6,1,0,Where was the Temptation Waits recorded?,[['dbo:recordedIn']],[],[[13]]
2176,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],[[5]]
2190,0.0,0.0,0.0,12,2,0,List places that are associated to cities in the state of Mecklenburg-Vorpommern.,"[['dbo:federalState'], ['dbp:cities']]",[],"[[1], [31]]"
2212,0.0,0.0,0.0,16,2,0,Which memeber of South Asia SubRegional Economic cooperation is also the nationality of Aishath saffa ?,"[['dbp:nationality'], ['dbp:membership']]",[],"[[17], [11]]"
2219,0.0,0.0,0.0,15,2,0,Which office holder's predecessor is  Lucius Cornelius and his associate is Marcus Calpurnius Bibulus?,"[['dbo:associate'], ['dbo:predecessor']]",[],"[[10], [20]]"
2221,0.0,0.0,0.0,7,1,1,What genre is king of the hill,[['dbo:genre']],['dbo:literaryGenre'],[[5588]]
2222,0.0,0.0,0.0,3,1,1,where is grenzgipfel,[['dbo:locatedInArea']],['dbo:country'],[[1072]]
2227,0.0,0.0,0.0,13,2,0,List the people who were born in Gelnhausen and graduated from Pepperdine University?,"[['dbo:birthPlace'], ['dbp:education']]",[],"[[4201], [21]]"
2231,0.0,0.0,0.0,6,1,1,what is the nationality of sissi?,[['dbo:birthPlace']],['dbo:nationality'],[[4201]]
2239,0.0,0.0,0.0,10,2,0,Who appointed Joseph Clay and William Cushing to their office?,"[['dbo:appointer'], ['dbo:appointer']]",[],"[[7], [7]]"
2252,0.0,0.0,0.0,9,1,0,Name the commander of Battle of the Thames ?,[['dbo:commander']],[],[[30]]
2254,0.0,0.0,0.0,15,2,0,Which leader of United States House of Representatives was the appinter of ohn Drayton ?,"[['dbp:appointer'], ['dbp:leader']]",[],"[[11], [10]]"
2284,0.0,0.0,0.0,10,2,0,List the served region of the organisations of Trade association.,"[['dbo:type'], ['dbo:regionServed']]",[],"[[1160], [10]]"
2288,0.0,0.0,0.0,12,2,1,In which city was the film star of Singhasan Battisi born ?,"[['dbo:starring'], ['dbp:birthPlace']]",['dbo:birthPlace'],"[[46], [1526]]"
2304,0.0,0.0,0.0,11,2,0,What are the television shows of a company headquartered in Geneva?,"[['dbp:company'], ['dbp:headquarters']]",[],"[[24], [32]]"
2314,0.0,0.0,0.0,7,1,0,Who played Gus Fring in Breaking Bad?,[['dbo:portrayer']],[],[[8]]
2338,0.0,0.0,0.0,14,2,0,"The successor of Ulrich II, Count of East Frisia was born in what place?","[['dbp:successor'], ['dbp:placeOfBirth']]",[],"[[34], [41]]"
2343,0.0,0.0,0.0,16,2,0,Whichi office of Walter Evnas Edge is also the part of Atlantic seaboard fall lines ?,"[['dbo:part'], ['dbp:office']]",[],"[[11], [17]]"
2348,0.0,0.0,0.0,15,2,0,Name the band atleast one of whose members is famous for playing the Fender Stratocaster?,"[['dbp:currentMembers'], ['dbp:notableInstruments']]",[],"[[14], [9]]"
2351,0.0,0.0,0.0,10,2,0,Whose famous works have been illustrated by E W Kemble?,"[['dbp:illustrator'], ['dbo:notableWork']]",[],"[[4], [92]]"
2354,0.0,0.0,0.0,15,2,0,How many  TV shows were made by someone who was associated with Lewis Hamilton?,"[['dbp:creator'], ['dbo:associatedBand']]",[],"[[17], [22]]"
2358,0.0,0.0,0.0,5,1,1,what company owns grocery store,[['dbo:industry']],['dbo:owner'],[[223]]
2368,0.0,0.0,0.0,14,2,0,"In which of the parties that have governed over Rishikesh, does Govinda belong too?","[['dbo:party'], ['dbo:leaderName']]",[],"[[26], [25]]"
2374,0.0,0.0,0.0,7,1,0,where is the location of sparrows point?,"[['dbo:country', 'dbo:isPartOf']]",[],"[[2554, 1891]]"
2387,0.0,0.0,0.0,6,1,1,what company produced ghost-cat of gojusan-tsugi,[['dbo:producer']],['dbp:studio'],[[506]]
2395,0.0,0.0,0.0,7,1,1,What country does leonel manzano hail from,[['dbo:nationality']],['dbo:birthPlace'],[[266]]
2396,0.0,0.0,0.0,14,2,0,List the destinations to which the airlines headquartered at the Gatwick Airport fly to?,"[['dbp:headquarters'], ['dbo:destination']]",[],"[[32], [10]]"
2411,0.0,0.0,0.0,12,1,0,What is the name of an album by an arena rock band,[['dbo:genre']],[],[[5588]]
2417,0.0,0.0,0.0,12,2,0,List education institute of the engineers whose alma mater is ChristChurch ?,"[['dbo:education'], ['dbo:education']]",[],"[[15], [15]]"
2432,0.0,0.0,0.0,9,2,0,Which company created BASIC and Language Integrated Query ?,"[['dbo:designer'], ['dbo:designer']]",[],"[[11], [11]]"
2438,0.0,0.0,0.0,12,2,0,Which publisher of Lucifer's hammer is also known for Jo Garcia ?,"[['dbo:knownFor'], ['dbo:publisher']]",[],"[[40], [288]]"
2443,0.0,0.0,0.0,10,1,1,in what state is the whittenton fire and police station,[['dbo:location']],['dbo:country'],[[1670]]
2450,0.0,0.0,0.0,15,2,0,"What is the residence of the person, who starred in Men Will Be Men ?","[['dbo:starring'], ['dbp:residence']]",[],"[[46], [25]]"
2469,0.0,0.0,0.0,8,2,0,Where do the rivers starting from Zambia end?,"[['dbo:sourceCountry'], ['dbo:riverMouth']]",[],"[[22], [39]]"
2477,0.0,0.0,0.0,6,1,0,When did Latvia join the EU?,[['dbp:accessioneudate']],[],[[2]]
2488,0.0,0.0,0.0,9,1,0,What genre of software is ibm rational software architect?,[['dbo:genre']],[],[[5588]]
2489,0.0,0.0,0.0,16,2,0,Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?,"[['dbo:composer'], ['dbp:company']]",[],"[[12], [24]]"
2490,0.0,0.0,0.0,5,1,1,where was michael pinnella was,[['dbo:birthPlace']],['dbo:country'],[[4201]]
2494,0.0,0.0,0.0,16,2,0,Name the president who has relations with Clinton family and had a lieutenant named Winston Bryant?,"[['dbo:lieutenant'], ['dbo:relation']]",[],"[[6], [24]]"
2505,0.0,0.0,0.0,9,2,0,"Which river originates from Cape Vincent and Kingston, Ontario?","[['dbp:sourceLocation'], ['dbp:sourceLocation']]",[],"[[9], [9]]"
2512,0.0,0.0,0.0,8,1,1,Which nation is walter j. zable originally from?,[['dbo:hometown']],['dbo:birthPlace'],[[505]]
2521,0.0,0.0,0.0,7,1,0,Is Anne Hidalgo the mayor of Paris?,[['dbo:mayor']],[],[[8]]
2525,0.0,0.0,0.0,5,1,0,Count all the stateless people,[['dbo:citizenship']],[],[[16]]
2547,0.0,0.0,0.0,9,1,0,what type of disaster was the san juanico disaster?,[['dbo:birthPlace']],[],[[4201]]
2548,0.0,0.0,0.0,9,1,1,which production company produced the film saving private ryan?,[['dbp:productionCompanies']],['dbp:studio'],[[5]]
2553,0.0,0.0,0.0,7,1,0,In which department does Raymond Baldwin work?,[['dbp:branch']],[],[[18]]
2571,0.5,0.5,0.5,12,2,2,Which awards have been given to both Ingmar Bergman and Charles LeMaire?,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']","[[50], [50]]"
2576,0.0,0.0,0.0,17,2,0,Which composer subsequent work of Moondog Matinee and also composed The TImes They are A changin ?,"[['dbo:subsequentWork'], ['dbo:musicBy']]",[],"[[31], [10]]"
2582,0.0,0.0,0.0,16,2,0,List the sports of PATTS College of Aeronautics which are of interest of Jon Speelman ?,"[['dbo:field'], ['dbp:athletics']]",[],"[[83], [19]]"
2584,0.0,0.0,0.0,11,2,0,Who is the head coach of the teams in Middlesbrough FC?,"[['dbp:club'], ['dbo:manager']]",[],"[[7], [10]]"
2585,0.0,0.0,0.0,10,1,0,Did Steve Sampson manage a club of Santa Clara university,[['dbo:managerClub']],[],[[12]]
2588,0.0,0.0,0.0,19,2,0,How many other wine region are there of the grapes whose one of the wine region is Michigan ?,"[['dbo:wineRegion'], ['dbo:wineRegion']]",[],"[[12], [12]]"
2590,0.0,0.0,0.0,20,2,0,Which cover artist of the The Adventures of Tom Sawyer also the source of inspiration of The Appple Tree ?,"[['dbo:coverArtist'], ['dbo:basedOn']]",[],"[[5], [8]]"
2592,0.0,0.0,0.0,13,2,0,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,"[['dbo:knownFor'], ['dbo:knownFor']]",[],"[[40], [40]]"
2593,0.0,0.0,0.0,9,2,0,Who is the leader of the Kriminalpolizei and Ordnungspolizei?,"[['dbo:leader'], ['dbo:leader']]",[],"[[32], [32]]"
2597,0.0,0.0,0.0,5,1,1,who wrote the martian child,[['dbo:author']],['dbo:writer'],[[426]]
2605,0.0,0.0,0.0,9,1,0,to which governmental institution does spirit mountain wilderness belong,[['dbp:governingBody']],[],[[27]]
2607,0.0,0.0,0.0,7,1,0,Is Esther Alder the mayor of Geneva?,[['dbp:mayor']],[],[[5]]
2608,0.0,0.0,0.0,12,2,0,Which sports are played in schools affiliated with the Harvest Christian Center?,"[['dbp:religiousAffiliation'], ['dbo:sport']]",[],"[[8], [41]]"
2622,0.0,0.0,0.0,11,2,0,What is the name of the characters created by Frank Miller?,"[['dbp:creators'], ['dbp:characterName']]",[],"[[9], [2]]"
2624,0.0,0.0,0.0,11,2,0,Name the common institution of the Erica Frank and Douglass North?,"[['dbo:institution'], ['dbo:institution']]",[],"[[17], [17]]"
2632,0.0,0.0,0.0,13,2,0,"What state was Cyrus Mann born in, and has the famous Downriver ?","[['dbp:birthPlace'], ['dbo:state']]",[],"[[1526], [875]]"
2639,0.0,0.0,0.0,7,1,1,What is the religion of louis leakey?,[['dbp:religion']],['dbo:religion'],[[78]]
2647,0.0,0.0,0.0,12,2,0,What are some team members of the team based in Camp Nou?,"[['dbo:homeStadium'], ['dbp:name']]",[],"[[11], [18]]"
2655,0.0,0.0,0.0,7,1,0,What is the dubai zoo membership called?,[['dbp:members']],[],[[2]]
2678,0.0,0.0,0.0,14,2,0,What is the college of the basketball player who lives in Ashton Historic district?,"[['dbp:birthPlace'], ['dbp:college']]",[],"[[1526], [5]]"
2716,0.0,0.0,0.0,15,2,0,What was founded by pina Records which has name of Geography of Puerto Rico ?,"[['dbp:name'], ['dbp:founded']]",[],"[[18], [6]]"
2718,0.0,0.0,0.0,16,2,0,List all discipline of the journals whose one of the discipline is Cerebral blood flow ?,"[['dbo:academicDiscipline'], ['dbo:academicDiscipline']]",[],"[[10], [10]]"
2727,0.0,0.0,0.0,11,2,0,What is written in a programming language developed by GNOME Project?,"[['dbp:developer'], ['dbp:programmingLanguage']]",[],"[[18], [15]]"
2745,0.0,0.0,0.0,18,2,0,Name the office holder whose theatre is Siege of Fort Recovery and belongs to Indian territory branch ?,"[['dbo:battle'], ['dbp:branch']]",[],"[[293], [18]]"
2746,0.0,0.0,0.0,6,1,1,which city did charlie caldwell die,[['dbp:deathPlace']],['dbo:deathPlace'],[[178]]
2748,0.0,0.0,0.0,4,1,0,what are gregorian's albums?,[['dbo:artist']],[],[[1147]]
2753,0.0,0.0,0.0,10,1,0,from what town in South West England is nick hewer,[['dbo:birthPlace']],[],[[4201]]
2754,0.0,0.0,0.0,6,1,0,Who produced the Pixar Image Computer?,[['dbo:product']],[],[[29]]
2757,0.0,0.0,0.0,11,1,1,What are the countries for which History of Trier principal to?,[['dbo:capital']],['dbo:country'],[[21]]
2758,0.0,0.0,0.0,11,2,0,Which are the previous broadcast networks of sister channels of WGBC?,"[['dbp:sisterStations'], ['dbo:formerBroadcastNetwork']]",[],"[[8], [3]]"
2763,0.0,0.0,0.0,7,1,1,what is an album by Lou Barlow?,[['dbo:type']],['dbo:artist'],[[1160]]
2766,0.0,0.0,0.0,5,1,0,where was frederick attenborough born,[['dbo:nationality']],[],[[266]]
2771,0.0,0.0,0.0,10,2,0,What is the religion of the relatives of Ananda Weerasekara?,"[['dbo:relation'], ['dbo:religion']]",[],"[[24], [257]]"
2776,0.0,0.0,0.0,13,2,0,What are the TV shows whose network is also known as the CW?,"[['dbp:network'], ['dbp:sisterNames']]",[],"[[18], [6]]"
2782,0.0,0.0,0.0,8,1,1,what is song by Australian musician andrew duffield,[['dbo:writer']],['dbo:artist'],[[1148]]
2787,0.0,0.0,0.0,13,1,0,Who were all the people in office when bob hawke was the PM?,[['dbo:primeMinister']],[],[[10]]
2794,0.0,0.0,0.0,9,1,0,Which organisation has superintendent as Lieutenant general (United States)?,[['dbo:superintendent']],[],[[2]]
2797,0.0,0.0,0.0,5,1,1,where is lucybell originally from,[['dbo:hometown']],['dbo:birthPlace'],[[505]]
2803,0.0,0.0,0.0,12,2,0,What is the territory of the conflict whose commander is Feng Zicai?,"[['dbo:commander'], ['dbo:territory']]",[],"[[30], [9]]"
2809,0.0,0.0,0.0,8,1,0,Who is the monarch of Bertalan Szemere ?,[['dbo:monarch']],[],[[5]]
2811,0.0,0.0,0.0,24,2,0,List the launch site of the rockets whose one of the launch site has been Cape Canaveral Air Force Station Launch Complex 26 ?,"[['dbo:launchSite'], ['dbo:launchSite']]",[],"[[12], [12]]"
2815,0.0,0.0,0.0,11,1,0,Does Sonny Bill Williams belong in the Canterbury Bankstown Bulldogs club?,[['dbp:club']],[],[[7]]
2817,0.0,0.0,0.0,8,1,0,"Count the units garrisoned at Arlington County, Virginia.",[['dbo:garrison']],[],[[8]]
2820,0.0,0.0,0.0,8,1,0,what is the headquarters of Juan Dalmau Ramerez?,[['dbp:headquarters']],[],[[32]]
2847,0.0,0.0,0.0,17,2,1,List all the writers of the comics which has Robert Bernstein as one of the writer ?,"[['dbp:writers'], ['dbp:writers']]",['dbp:writer'],"[[10], [10]]"
2849,0.0,0.0,0.0,9,1,0,Which players have represented Los Angeles Angels of Anaheim?,[['dbo:team']],[],[[46]]
2861,0.0,0.0,0.0,5,1,0,How tall is Amazon Eve?,[['dbo:height']],[],[[7]]
2870,0.0,0.0,0.0,9,2,0,Which river flows through both eastern and western washington?,"[['dbo:river'], ['dbo:river']]",[],"[[12], [12]]"
2877,0.0,0.0,0.0,13,2,0,How many ships belong to states which has Unitary as government type ?,"[['dbo:country'], ['dbo:governmentType']]",[],"[[2554], [8]]"
2878,0.0,0.0,0.0,11,1,0,"Alexander Magleby, a rugby player is alma mater to which university?",[['dbp:university']],[],[[3]]
2881,0.0,0.0,0.0,8,1,0,What are some scientists who have stateless citizenship?,[['dbo:citizenship']],[],[[16]]
2885,0.0,0.0,0.0,16,2,0,Which university attended by Franklin W. Olin was also the alma mater of Patty Lin ?,"[['dbp:education'], ['dbp:almaMater']]",[],"[[21], [29]]"
2907,0.0,0.0,0.0,13,2,0,Through which counties does the road go which starts at the Port Klang?,"[['dbo:routeStart'], ['dbo:county']]",[],"[[10], [10]]"
2909,0.0,0.0,0.0,11,2,0,On how many different grounds were seasons chaired by Ronaldo held?,"[['dbo:chairman'], ['dbo:ground']]",[],"[[11], [10]]"
2913,0.0,0.0,0.0,15,2,1,What is the person known for who is the movie director of Sleepy-Time Squirrel ?,"[['dbp:director'], ['dbo:knownFor']]",['dbo:director'],"[[19], [40]]"
2915,0.0,0.0,0.0,9,1,1,Which country does p. s. veerappa have nationality in,[['dbo:birthPlace']],['dbo:nationality'],[[4201]]
2919,0.0,0.0,0.0,11,1,1,What is the name of an album by the birthday massacre,[['dbo:artist']],['dbo:type'],[[1147]]
2926,0.0,0.0,0.0,4,1,0,Where did rian james,[['dbo:deathPlace']],[],[[1213]]
2931,0.0,0.0,0.0,4,1,0,which game is quiz,[['dbo:genre']],[],[[5588]]
2941,0.0,0.0,0.0,9,1,0,Is the Kia Sportage similar to the Hyundai Lavita?,[['dbo:relatedMeanOfTransportation']],[],[[4]]
2946,0.0,0.0,0.0,5,1,1,Where is carlos garaikoetxea from,[['dbo:nationality']],['dbo:birthPlace'],[[266]]
2951,0.0,0.0,0.0,21,2,0,Which tv show was preceded by The spirit of Christmas and voice to the character was given by Mona Marshall ?,"[['dbo:previousWork'], ['dbp:voices']]",[],"[[11], [18]]"
2953,0.0,0.0,0.0,11,2,0,How many buildings are located in the jurisdiction of John Tory?,"[['dbp:location'], ['dbo:leaderName']]",[],"[[22], [25]]"
2956,0.0,0.0,0.0,7,1,1,Name the origin of Henry Cluney ?,[['dbp:origin']],['dbo:hometown'],[[12]]
2966,0.0,0.0,0.0,6,1,0,Which rockets were launched from Baikonur?,[['dbo:launchSite']],[],[[12]]
2972,0.0,0.0,0.0,11,1,0,What is the country with native language as Languages of Ethiopia?,[['dbo:language']],[],[[520]]
2994,0.0,0.0,0.0,5,1,2,where did Alfred Tarnowski die?,[['dbp:placeOfDeath']],"['dbo:deathPlace', 'dbp:deathPlace']",[[32]]
2997,0.0,0.0,0.0,8,1,0,What is the municipality of Patterson Houses ?,[['dbo:municipality']],[],[[9]]
3003,0.0,0.0,0.0,9,2,0,Who owns the company that made the Edsel Villager?,"[['dbp:products'], ['dbp:parent']]",[],"[[24], [15]]"
3004,0.0,0.0,0.0,11,1,0,On which subjects does the author of the novel Thud! delve?,[['dbo:nonFictionSubject']],[],[[14]]
3019,0.0,0.0,0.0,7,1,0,Is camel  of the chordate phylum?,[['dbp:phylum']],[],[[4]]
3023,0.0,0.0,0.0,11,1,0,What are the track and field events of Jamiatu Muslim Mindanao?,[['dbp:athletics']],[],[[19]]
3024,0.0,0.0,0.0,11,2,0,Count the different alma maters of people employed by the CNN,"[['dbp:employer'], ['dbo:almaMater']]",[],"[[13], [45]]"
3032,0.0,0.0,0.0,7,1,1,What book did donald e. westlake write,[['dbo:notableWork']],['dbo:author'],[[92]]
3034,0.0,0.0,0.0,15,2,0,Which home town of Cline Buckens is the place of Death of Richard heron ?,"[['dbo:hometown'], ['dbp:placeOfDeath']]",[],"[[505], [32]]"
3041,0.0,0.0,0.0,8,1,0,Name the ssignificant buildings of Ivan Fomin ?,[['dbo:significantBuilding']],[],[[7]]
3048,0.0,0.0,0.0,7,1,1,Name a type of greatest hits album.,[['dbo:type']],['dbo:genre'],[[1160]]
3052,0.0,0.0,0.0,12,2,0,Give me some shows related to the ones created by Russell Davies,"[['dbo:related'], ['dbp:creator']]",[],"[[16], [17]]"
3053,0.0,0.0,0.0,9,2,0,Which city has radio stations which are Religious ?,"[['dbp:format'], ['dbp:city']]",[],"[[3], [28]]"
3057,0.0,0.0,0.0,10,1,1,what American rock and pop singer was born in chicago,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:genre'],"[[1526, 4201]]"
3060,0.0,0.0,0.0,17,2,0,List the total number of regions of the building whose are located in\Grand Forks Air Force Base?,"[['dbo:region'], ['dbo:region']]",[],"[[1153], [1153]]"
