,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,training_count
1790,0.5,0.2,0.2857142857142857,10,2,5,Which company founded in New Mexico manufactures Visual Studio ?,"[['dbp:foundation'], ['dbp:products']]","['dbo:foundationPlace', 'dbo:locationCity', 'dbo:product', 'dbp:company', 'dbp:foundation']",factoid,"[[17], [24]]"
1791,0.0,0.0,0.0,9,1,5,tell me the school to which Cyril Hume went?,[['dbp:education']],"['dbo:education', 'dbo:region', 'dbo:school', 'dbo:type', 'dbp:highSchool']",list,[[21]]
1797,0.0,0.0,0.0,9,1,5,Name the sport league of Hampton Roads Rhinos ?,[['dbp:league']],"['dbo:athletics', 'dbo:league', 'dbo:religion', 'dbo:sport', 'dbp:athletics']",list,[[12]]
1813,0.0,0.0,0.0,8,2,5,Relatives of Moses used to follow which religions?,"[['dbo:relative'], ['dbo:veneratedIn']]","['dbo:currency', 'dbo:profession', 'dbo:religion', 'dbp:religion', 'dbp:veneratedIn']",list,"[[22], [8]]"
1826,0.5,0.2,0.2857142857142857,9,2,5,Organization holding stocks of  Galician and German wikipedias?,"[['dbp:owner'], ['dbo:owner']]","['dbo:founder', 'dbo:keyPerson', 'dbo:owner', 'dbo:parentCompany', 'dbp:studio']",list,"[[51], [83]]"
1835,0.0,0.0,0.0,8,1,5,Ellen Kuras collaborated on these 3 short films.,[['dbo:cinematography']],"['dbo:associatedMusicalArtist', 'dbo:distributor', 'dbo:musicComposer', 'dbo:writer', 'dbp:associatedActs']",factoid,[[124]]
1847,0.5,0.2,0.2857142857142857,7,2,5,"List the sports associated with Mariveles, Bataan?","[['dbp:city'], ['dbo:sport']]","['dbo:associatedMusicalArtist', 'dbo:movement', 'dbo:related', 'dbo:sport', 'dbp:name']",list,"[[28], [41]]"
1850,0.5,0.2,0.2857142857142857,13,2,5,In how many places are the tombs of everyone who died in England?,"[['dbp:placeOfBurial'], ['dbp:placeOfDeath']]","['dbo:deathPlace', 'dbo:restingPlace', 'dbp:deathPlace', 'dbp:placeOfBirth', 'dbp:placeOfDeath']",count,"[[17], [32]]"
1855,0.5,0.2,0.2857142857142857,10,2,5,Which awards are presented by the committee located in Stockholm?,"[['dbp:headquarters'], ['dbo:presenter']]","['dbo:city', 'dbo:country', 'dbo:location', 'dbo:presenter', 'dbo:restingPlace']",factoid,"[[32], [10]]"
1856,0.5,0.2,0.2857142857142857,20,2,5,Name the college of the Allama Matthews which also has affiliation with  Monroe Carell Jr. Children's Hospital at Vanderbilt,"[['dbo:college'], ['dbp:affiliation']]","['dbo:campus', 'dbo:city', 'dbo:region', 'dbp:affiliation', 'dbp:affiliations']",list,"[[13], [11]]"
1866,0.0,0.0,0.0,8,1,5,Who was the program director for Third Watch?,[['dbo:creator']],"['dbo:director', 'dbo:executiveProducer', 'dbo:genre', 'dbp:director', 'dbp:genre']",factoid,[[246]]
1872,0.5,0.2,0.2857142857142857,8,2,5,"Who is married to a Miss Louisiana, USA?","[['dbp:title'], ['dbp:spouse']]","['dbo:birthPlace', 'dbo:partner', 'dbo:spouse', 'dbp:birthPlace', 'dbp:spouse']",factoid,"[[16], [19]]"
1891,0.5,0.2,0.2857142857142857,15,2,5,"Which river flows through Hudson Highlands State park and also through Troy, New york ?","[['dbp:river'], ['dbo:river']]","['dbo:city', 'dbo:locatedInArea', 'dbo:mouthMountain', 'dbo:river', 'dbo:state']",factoid,"[[3], [12]]"
1906,0.5,0.2,0.2857142857142857,14,2,5,Which wars were fought when the commanders involved served under PM Choi Tu Son?,"[['dbo:commander'], ['dbp:primeminister']]","['dbo:commander', 'dbo:territory', 'dbp:battles', 'dbp:combatant', 'dbp:commander']",factoid,"[[30], [16]]"
1919,0.5,0.2,0.2857142857142857,14,2,5,What are the houses of the legislature where the leader is called Pullaiahgaripalli ?,"[['dbp:leaderTitle'], ['dbp:houses']]","['dbo:leaderName', 'dbo:relation', 'dbp:houses', 'dbp:leader', 'dbp:leaderName']",factoid,"[[5], [6]]"
1957,0.0,0.0,0.0,10,2,5,How many politicians are there from the city of Ganges?,"[['dbp:city'], ['dbo:leaderName']]","['dbo:birthPlace', 'dbo:party', 'dbo:stateOfOrigin', 'dbp:placeOfBirth', 'dbp:residence']",count,"[[28], [25]]"
1962,0.5,0.2,0.2857142857142857,15,2,5,Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?,"[['dbo:militaryBranch'], ['dbo:tenant']]","['dbo:militaryBranch', 'dbp:branch', 'dbp:founder', 'dbp:office', 'dbp:placeOfDeath']",factoid,"[[19], [28]]"
1970,0.0,0.0,0.0,9,1,5,Was mother teresa beatified by John Paul the second?,[['dbp:beatifiedBy']],"['dbo:child', 'dbo:influencedBy', 'dbo:parent', 'dbo:producer', 'dbp:birthPlace']",boolean,[[5]]
1980,0.0,0.0,0.0,9,1,5,What are the type of Greenup County High School?,[['dbp:type']],"['dbo:deathPlace', 'dbo:nationality', 'dbo:type', 'dbp:deathPlace', 'dbp:genre']",factoid,[[12]]
1984,0.0,0.0,0.0,8,1,5,Who is a religious figure titled superior general?,[['dbp:title']],"['dbo:birthPlace', 'dbo:creator', 'dbo:religion', 'dbp:birthPlace', 'dbp:religion']",factoid,[[16]]
1992,0.0,0.0,0.0,14,2,5,Where was the deadbody discovered of one of the alumni of General Educational Development?,"[['dbp:education'], ['dbp:bodyDiscovered']]","['dbo:almaMater', 'dbo:restingPlace', 'dbo:training', 'dbp:deathPlace', 'dbp:placeOfDeath']",factoid,"[[21], [1]]"
1996,0.5,0.2,0.2857142857142857,12,2,5,In which cities are there american football teams where Matt Snorton played?,"[['dbp:pastteams'], ['dbo:locationCity']]","['dbo:formerTeam', 'dbo:locationCity', 'dbo:team', 'dbp:location', 'dbp:playedFor']",factoid,"[[8], [25]]"
2031,0.0,0.0,0.0,9,1,5,which albums were released by the bay city rollers?,[['dbo:artist']],"['dbo:album', 'dbo:country', 'dbo:genre', 'dbo:hometown', 'dbo:type']",factoid,[[1147]]
2042,0.5,0.2,0.2857142857142857,16,2,5,What is the common university iof vanderbilt Commodores and also the college of hubert Wiggs ?,"[['dbo:college'], ['dbo:university']]","['dbo:almaMater', 'dbo:athletics', 'dbo:institution', 'dbo:university', 'dbp:athletics']",factoid,"[[13], [10]]"
2067,0.5,0.2,0.2857142857142857,15,2,5,How many other family of the mammals exists  whose family is also Hominidae ?,"[['dbo:family'], ['dbo:family']]","['dbo:family', 'dbo:isPartOf', 'dbo:order', 'dbo:species', 'dbp:children']",count,"[[20], [20]]"
2069,0.0,0.0,0.0,6,1,5,Who is the editor of Forbes?,[['dbo:editor']],"['dbo:editing', 'dbo:founder', 'dbo:influenced', 'dbo:publisher', 'dbp:editor']",factoid,[[3]]
2094,0.0,0.0,0.0,8,1,5,Does Ford own the Ford Kansas Assembly plant?,[['dbo:owningOrganisation']],"['dbo:isPartOf', 'dbo:manufacturer', 'dbo:owner', 'dbp:company', 'dbp:engine']",boolean,[[9]]
2100,0.0,0.0,0.0,8,1,5,Is the chestnut white bellied rat a mammal?,[['dbo:class']],"['dbo:artist', 'dbo:deathPlace', 'dbo:restingPlace', 'dbo:state', 'dbp:deathPlace']",boolean,[[59]]
2123,0.0,0.0,0.0,8,1,5,Name few television shows's anchored by Ryan Seacrest?,[['dbo:presenter']],"['dbo:executiveProducer', 'dbo:location', 'dbo:network', 'dbp:channel', 'dbp:network']",list,[[10]]
2141,0.0,0.0,0.0,17,2,5,List the total number of regions of the building whose are located in\Grand Forks Air Force Base?,"[['dbo:region'], ['dbo:region']]","['dbo:country', 'dbo:location', 'dbp:deathPlace', 'dbp:location', 'dbp:locationCountry']",list,"[[1153], [1153]]"
2162,0.5,0.2,0.2857142857142857,21,2,5,Name the office holder whose final resting place is North Bend and was part of Siege of fort recovery conflict ?,"[['dbo:battle'], ['dbp:restingplace']]","['dbo:battle', 'dbo:territory', 'dbp:deathPlace', 'dbp:restingPlace', 'dbp:successor']",list,"[[293], [25]]"
2181,0.0,0.0,0.0,11,2,5,Where is the lake located into which the Winnipeg River flows?,"[['dbp:outflow'], ['dbp:location']]","['dbo:country', 'dbo:outflow', 'dbo:riverMouth', 'dbp:cities', 'dbp:mouthLocation']",factoid,"[[8], [22]]"
2188,0.5,0.2,0.2857142857142857,16,2,5,How many different organizations own the railway lines which are a part of Norfolk Southern Railway?,"[['dbp:owner'], ['dbp:system']]","['dbo:owningOrganisation', 'dbo:servingRailwayLine', 'dbo:type', 'dbp:line', 'dbp:owner']",count,"[[51], [4]]"
2254,0.0,0.0,0.0,7,1,5,which album is created by rod stewart,[['dbo:type']],"['dbo:artist', 'dbo:creator', 'dbo:foundedBy', 'dbo:recordLabel', 'dbo:writer']",factoid,[[1160]]
2260,0.5,0.2,0.2857142857142857,12,2,5,Radios on what topics can be tuned in to in Washington DC?,"[['dbo:broadcastArea'], ['dbo:programmeFormat']]","['dbo:deathPlace', 'dbo:programmeFormat', 'dbp:country', 'dbp:music', 'dbp:subject']",list,"[[48], [100]]"
2289,0.5,0.2,0.2857142857142857,19,2,5,Which borough of the Corringham railway station is also the local authority of Buckhurst Hill County High School ?,"[['dbo:localAuthority'], ['dbp:borough']]","['dbo:country', 'dbo:district', 'dbo:localAuthority', 'dbo:owningOrganisation', 'dbp:owner']",factoid,"[[11], [3]]"
2294,0.0,0.0,0.0,13,2,5,Which company produced the car which was a new version of Daewoo's Tico?,"[['dbp:predecessor'], ['dbp:parentCompany']]","['dbo:distributor', 'dbo:manufacturer', 'dbo:product', 'dbo:successor', 'dbp:studio']",factoid,"[[26], [4]]"
2297,0.0,0.0,0.0,9,1,5,What are the awrds won by Laemmle Theatres ?,[['dbo:service']],"['dbo:award', 'dbo:district', 'dbp:awards', 'dbp:city', 'dbp:title']",factoid,[[9]]
2300,0.5,0.2,0.2857142857142857,21,2,5,What is the associated band of the musical artist who is the producer of The Trumpet Kings Meet Joe Turner ?,"[['dbp:producer'], ['dbo:associatedBand']]","['dbo:associatedBand', 'dbo:associatedMusicalArtist', 'dbo:musicalArtist', 'dbp:artist', 'dbp:associatedActs']",factoid,"[[24], [22]]"
2302,0.5,0.2,0.2857142857142857,16,2,5,What are some software which are written in languages that are run on Unix like OS?,"[['dbp:programmingLanguage'], ['dbp:operatingSystem']]","['dbo:author', 'dbo:computingPlatform', 'dbo:operatingSystem', 'dbo:programmingLanguage', 'dbp:programmingLanguage']",factoid,"[[15], [5]]"
2344,0.5,0.2,0.2857142857142857,12,2,5,Where are the cooper mountain vineyards and Mt. bachelor ski area located?,"[['dbo:location'], ['dbo:location']]","['dbo:locatedInArea', 'dbo:location', 'dbo:residence', 'dbo:restingPlace', 'dbp:deathPlace']",factoid,"[[1670], [1670]]"
2348,0.0,0.0,0.0,8,1,5,Is Trevor Peacock the narrator of Fred Claus?,[['dbp:narrator']],"['dbo:literaryGenre', 'dbo:narrator', 'dbo:writer', 'dbp:awards', 'dbp:narrated']",boolean,[[2]]
2355,0.0,0.0,0.0,7,1,5,what's the name of a budapest-born musician,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:artist', 'dbo:genre', 'dbo:hometown', 'dbo:occupation', 'dbo:recordLabel']",list,"[[1526, 4201]]"
2358,0.0,0.0,0.0,9,2,5,Things going to the mediterranean sea also go where?,"[['dbp:destinations'], ['dbo:destination']]","['dbo:literaryGenre', 'dbo:locatedInArea', 'dbo:outflow', 'dbp:cities', 'dbp:outflow']",count,"[[18], [10]]"
2376,0.0,0.0,0.0,7,1,5,How much carbs does peanut butter have?,[['dbp:carbs']],"['dbo:city', 'dbo:ingredient', 'dbo:mountainRange', 'dbo:writer', 'dbp:country']",factoid,[[1]]
2377,0.0,0.0,0.0,7,1,5,Is the College Sainte Marie in Mauritius?,[['dbp:county']],"['dbo:campus', 'dbo:institution', 'dbo:region', 'dbo:university', 'dbp:chancellor']",boolean,[[1]]
2431,0.0,0.0,0.0,12,1,5,wishart mclea robertson  is a descendent of what Canadian civil servant,[['dbo:child']],"['dbo:architect', 'dbo:citizenship', 'dbo:locatedInArea', 'dbo:occupation', 'dbo:religion']",factoid,[[150]]
2442,0.5,0.2,0.2857142857142857,17,2,5,How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James ?,"[['dbp:guests'], ['dbp:guests']]","['dbo:location', 'dbo:nationality', 'dbp:guests', 'dbp:music', 'dbp:placeOfDeath']",count,"[[12], [12]]"
2462,0.5,0.2,0.2857142857142857,13,2,5,Who are the relatives of the character after which Quagmire's Quagmire was made?,"[['dbo:subsequentWork'], ['dbo:relative']]","['dbo:creator', 'dbo:religion', 'dbo:subsequentWork', 'dbo:successor', 'dbp:relatives']",factoid,"[[31], [22]]"
2465,0.5,0.2,0.2857142857142857,19,2,5,"Of all the teams that Andrew Economos played for, which one did Jerrel Jackson play his first game for?","[['dbo:formerTeam'], ['dbo:debutTeam']]","['dbo:formerTeam', 'dbo:publisher', 'dbo:team', 'dbp:debutteam', 'dbp:playedFor']",list,"[[36], [20]]"
2494,0.0,0.0,0.0,7,2,5,Which rivers flow into a German lake?,"[['dbo:country'], ['dbo:inflow']]","['dbo:mouthMountain', 'dbo:outflow', 'dbo:province', 'dbo:riverMouth', 'dbp:inflow']",factoid,"[[2554], [5]]"
2506,0.0,0.0,0.0,8,1,5,which country is yan paing a national of,[['dbo:birthPlace']],"['dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:region', 'dbo:state']",factoid,[[4201]]
2508,0.5,0.2,0.2857142857142857,10,2,5,What is the political party of the of Bengalis ?,"[['dbo:ethnicity'], ['dbo:party']]","['dbo:ideology', 'dbo:otherParty', 'dbo:party', 'dbo:religion', 'dbp:party']",factoid,"[[39], [26]]"
2557,0.5,0.2,0.2857142857142857,12,2,5,Who appointed both John Drayton and William Clark to their respective offices?,"[['dbp:appointer'], ['dbp:appointer']]","['dbo:appointer', 'dbo:leaderName', 'dbo:nominee', 'dbp:appointer', 'dbp:office']",factoid,"[[11], [11]]"
2573,0.0,0.0,0.0,10,2,5,Who has canonized someone who's a doctor of the church?,"[['dbp:titles'], ['dbo:canonizedBy']]","['dbo:deathCause', 'dbo:producer', 'dbo:religion', 'dbp:canonizedBy', 'dbp:religion']",factoid,"[[1], [5]]"
2582,0.0,0.0,0.0,18,2,5,"In all the grand prixes where the first team was Scuderia Ferrari, who all were the pole drivers?","[['dbp:firstTeam'], ['dbp:poleDriver']]","['dbo:firstDriver', 'dbo:poleDriver', 'dbp:debutteam', 'dbp:firstDriver', 'dbp:race']",factoid,"[[8], [4]]"
2583,0.0,0.0,0.0,5,1,5,where did Deion Sanders debut?,[['dbp:debutteam']],"['dbo:debutTeam', 'dbo:genre', 'dbo:hometown', 'dbo:type', 'dbp:genre']",factoid,[[21]]
2598,0.5,0.2,0.2857142857142857,11,2,5,What is the occupation of the band members of The Shirelles?,"[['dbo:associatedMusicalArtist'], ['dbo:occupation']]","['dbo:associatedBand', 'dbo:bandMember', 'dbo:instrument', 'dbo:occupation', 'dbp:currentMembers']",factoid,"[[26], [629]]"
2618,0.5,0.2,0.2857142857142857,13,2,5,What is the common ethnicity of the Maike Evers and Francisco Lachowski ?,"[['dbo:ethnicity'], ['dbo:ethnicity']]","['dbo:ethnicity', 'dbo:religion', 'dbo:stateOfOrigin', 'dbp:ethnicity', 'dbp:religion']",factoid,"[[39], [39]]"
2643,0.0,0.0,0.0,9,1,5,Give me all breeds of the German Shepherd dog.,[['dbp:breed']],"['dbo:child', 'dbo:family', 'dbo:honours', 'dbo:species', 'dbp:mascot']",list,[[1]]
2673,0.0,0.0,0.0,10,1,5,Count the number of region of AN/FSQ-7 Combat Direction Central?,[['dbo:region']],"['dbo:county', 'dbo:mountainRange', 'dbo:origin', 'dbo:position', 'dbp:deathPlace']",count,[[1153]]
2676,0.0,0.0,0.0,4,1,5,Where was harold theobald,[['dbo:birthPlace']],"['dbo:country', 'dbo:deathPlace', 'dbo:district', 'dbo:locatedInArea', 'dbo:region']",factoid,[[4201]]
2710,0.0,0.0,0.0,6,1,5,What is Donald Trump's main business?,[['dbo:owner']],"['dbo:industry', 'dbo:isPartOf', 'dbo:location', 'dbo:occupation', 'dbo:recordLabel']",factoid,[[83]]
2712,0.5,0.2,0.2857142857142857,14,2,5,What is the ethnicity of the people working for the Philippines house of representatives?,"[['dbo:occupation'], ['dbo:ethnicity']]","['dbo:almaMater', 'dbo:ethnicity', 'dbo:residence', 'dbp:office', 'dbp:residence']",factoid,"[[629], [39]]"
2724,0.0,0.0,0.0,7,1,5,who sings i can't quit you baby,[['dbo:writer']],"['dbo:artist', 'dbo:child', 'dbo:genre', 'dbo:instrument', 'dbo:recordLabel']",factoid,[[1148]]
2729,0.0,0.0,0.0,3,1,5,where is metacarta,[['dbo:foundationPlace']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:region']",factoid,[[37]]
2730,0.5,0.2,0.2857142857142857,13,2,5,List the people who influenced the comedian who acted in Good Hair ?,"[['dbp:starring'], ['dbo:influencedBy']]","['dbo:influenced', 'dbo:influencedBy', 'dbo:musicalArtist', 'dbo:starring', 'dbp:writer']",list,"[[31], [244]]"
2735,0.0,0.0,0.0,5,1,5,what genre is tam lin?,[['dbo:literaryGenre']],"['dbo:country', 'dbo:genre', 'dbo:region', 'dbo:type', 'dbp:genre']",factoid,[[750]]
2740,0.0,0.0,0.0,5,1,5,which country is vatnafjöll in,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district', 'dbo:isPartOf', 'dbo:region', 'dbo:state']",factoid,[[1072]]
2749,0.5,0.2,0.2857142857142857,11,2,5,Count the number of different religions that field marshals have followed?,"[['dbo:militaryRank'], ['dbo:religion']]","['dbo:field', 'dbo:profession', 'dbo:religion', 'dbp:fields', 'dbp:religion']",count,"[[7], [257]]"
2759,0.5,0.2,0.2857142857142857,17,2,5,"Which founder of European School, karlsruhe is also the jursdiction of Eurpoean Border of Coast guard ?","[['dbp:jurisdiction'], ['dbp:founder']]","['dbo:foundedBy', 'dbo:nationality', 'dbp:foundation', 'dbp:founder', 'dbp:owner']",factoid,"[[4], [25]]"
2786,0.0,0.0,0.0,13,2,5,What is the award presented by Downtown Athletic Club and Yale Club NYCity?,"[['dbp:presenter'], ['dbp:presenter']]","['dbo:award', 'dbo:distributor', 'dbo:presenter', 'dbp:channel', 'dbp:founder']",factoid,"[[8], [8]]"
2787,0.5,0.2,0.2857142857142857,5,2,5,When did Dracula's creator die?,"[['dbo:creator'], ['dbo:deathDate']]","['dbo:creator', 'dbo:deathPlace', 'dbo:notableWork', 'dbp:creator', 'dbp:placeOfDeath']",factoid,"[[246], [7]]"
2801,0.5,0.2,0.2857142857142857,11,2,5,Give me all actors who were born in Paris after 1950.,"[['dbo:birthPlace'], ['dbo:birthDate']]","['dbo:birthPlace', 'dbo:starring', 'dbp:birthPlace', 'dbp:placeOfBirth', 'dbp:starring']",list,"[[4201], [9]]"
2805,0.5,0.2,0.2857142857142857,11,2,5,In which fields are both Paul Demiville and Sylvain levi experts?,"[['dbp:fields'], ['dbp:fields']]","['dbo:academicAdvisor', 'dbo:knownFor', 'dbo:writer', 'dbp:country', 'dbp:fields']",factoid,"[[20], [20]]"
2833,0.0,0.0,0.0,8,2,5,Where are jockeys in Dubai World Cup from?,"[['dbo:race'], ['dbp:birthPlace']]","['dbo:birthPlace', 'dbo:country', 'dbo:hometown', 'dbo:location', 'dbo:nationality']",factoid,"[[6], [1526]]"
2836,0.0,0.0,0.0,8,1,5,Who is the manager for the Louisville Bats?,[['dbo:position']],"['dbo:manager', 'dbo:managerClub', 'dbp:club', 'dbp:managerclubs', 'dbp:name']",factoid,[[1397]]
2854,0.0,0.0,0.0,5,1,5,What nation is robin young?,[['dbo:nationality']],"['dbo:birthPlace', 'dbo:country', 'dbo:isPartOf', 'dbo:occupation', 'dbp:birthPlace']",factoid,[[266]]
2867,0.0,0.0,0.0,13,2,5,What artist was associated closely with the bare necessities and rock a doodle?,"[['dbo:starring'], ['dbo:artist']]","['dbo:associatedMusicalArtist', 'dbo:genre', 'dbo:movement', 'dbo:musicComposer', 'dbo:recordLabel']",factoid,"[[46], [1147]]"
2876,0.5,0.2,0.2857142857142857,16,2,5,Give me the total number of membership of the organisations which have memebers as  Azerbaijan?,"[['dbp:membership'], ['dbp:membership']]","['dbo:headquarter', 'dbo:leaderName', 'dbo:president', 'dbp:affiliations', 'dbp:membership']",list,"[[11], [11]]"
2879,0.5,0.2,0.2857142857142857,11,2,5,List the places where the relatives of Mark Donaldson died ?,"[['dbp:relatives'], ['dbo:deathPlace']]","['dbo:deathPlace', 'dbo:relation', 'dbo:relative', 'dbp:deathPlace', 'dbp:placeOfDeath']",list,"[[24], [1213]]"
2897,0.0,0.0,0.0,5,1,5,which group released nuclear blast,[['dbo:recordLabel']],"['dbo:artist', 'dbo:distributor', 'dbo:publisher', 'dbo:type', 'dbp:studio']",factoid,[[880]]
2906,0.5,0.2,0.2857142857142857,11,2,5,What is the deathplace of people who have worked in Ethics?,"[['dbp:mainInterests'], ['dbp:placeOfDeath']]","['dbo:deathPlace', 'dbo:employer', 'dbo:occupation', 'dbp:deathPlace', 'dbp:placeOfDeath']",factoid,"[[14], [32]]"
2933,0.0,0.0,0.0,8,1,5,Who is the employer of Ralph flanders ?,[['dbp:occupation']],"['dbo:author', 'dbo:employer', 'dbo:manufacturer', 'dbo:occupation', 'dbp:employer']",factoid,[[7]]
2934,0.0,0.0,0.0,10,2,5,In which municipalities does the NYC housing authority own buildings?,"[['dbo:owningOrganisation'], ['dbo:municipality']]","['dbo:deathPlace', 'dbo:localAuthority', 'dbo:location', 'dbo:tenant', 'dbp:governingBody']",factoid,"[[9], [9]]"
2948,0.0,0.0,0.0,9,2,5,How many years was the Ford Model T manufactured?,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]","['dbo:automobilePlatform', 'dbo:child', 'dbo:manufacturer', 'dbo:predecessor', 'dbp:related']",count,"[[1], [1]]"
2950,0.5,0.2,0.2857142857142857,7,2,5,Name some islands in a pacific archipelago?,"[['dbp:archipelago'], ['dbp:location']]","['dbo:country', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbp:archipelago']",list,"[[9], [22]]"
2975,0.0,0.0,0.0,9,1,5,What is the regional radio sports network associated with?,[['dbp:affiliations']],"['dbo:influencedBy', 'dbo:movement', 'dbo:programmeFormat', 'dbp:area', 'dbp:sisterStations']",factoid,[[16]]
3024,0.0,0.0,0.0,13,2,5,What is the common country of Ganz UV and Balaton wine region ?,"[['dbo:location'], ['dbo:operator']]","['dbo:country', 'dbo:origin', 'dbo:region', 'dbo:wineRegion', 'dbp:region']",factoid,"[[1670], [16]]"
3029,0.5,0.2,0.2857142857142857,15,2,5,"What is the residence of the person, who starred in Men Will Be Men ?","[['dbo:starring'], ['dbp:residence']]","['dbo:birthPlace', 'dbo:residence', 'dbo:starring', 'dbp:music', 'dbp:starring']",factoid,"[[46], [25]]"
3033,0.0,0.0,0.0,6,1,5,where is the bayou st. john,[['dbo:region']],"['dbo:country', 'dbo:deathPlace', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbp:birthPlace']",factoid,[[1153]]
3057,0.5,0.2,0.2857142857142857,9,2,5,Where can I find some buildings of modern architecture?,"[['dbp:architecturalStyle'], ['dbp:address']]","['dbo:architect', 'dbo:architecturalStyle', 'dbp:address', 'dbp:architecture', 'dbp:locationCountry']",factoid,"[[3], [11]]"
3061,0.0,0.0,0.0,5,1,5,Which veterans served at CBS?,[['dbo:occupation']],"['dbo:almaMater', 'dbo:broadcastArea', 'dbo:hometown', 'dbo:militaryUnit', 'dbo:team']",factoid,[[629]]
3078,0.0,0.0,0.0,11,1,5,what is a show that michael j. weithorn is known for,[['dbo:creator']],"['dbo:artist', 'dbo:director', 'dbo:genre', 'dbo:occupation', 'dbp:genre']",factoid,[[246]]
3093,0.0,0.0,0.0,11,1,5,Does the US route 281 have a junction at San Antonio?,[['dbp:junction']],"['dbo:deathPlace', 'dbo:routeEnd', 'dbo:routeJunction', 'dbo:type', 'dbo:writer']",boolean,[[4]]
3105,0.0,0.0,0.0,6,1,5,When was Alberta admitted as province?,[['dbp:admittancedate']],"['dbo:country', 'dbo:province', 'dbo:type', 'dbp:birthPlace', 'dbp:province']",factoid,[[2]]
3116,0.0,0.0,0.0,11,2,5,What is the religion of the academic authority on Ceratosoma tenue?,"[['dbo:binomialAuthority'], ['dbp:veneratedIn']]","['dbo:country', 'dbo:religion', 'dbp:leaderName', 'dbp:religion', 'dbp:religiousAffiliation']",factoid,"[[9], [13]]"
3129,0.0,0.0,0.0,10,2,5,Which venues are located at places governed by John Roberts?,"[['dbp:address'], ['dbo:leader']]","['dbo:leaderName', 'dbo:location', 'dbp:governingBody', 'dbp:leaderName', 'dbp:venue']",factoid,"[[11], [32]]"
3142,0.5,0.2,0.2857142857142857,11,2,5,What is the label of things produced by the band If?,"[['dbp:artist'], ['dbp:label']]","['dbo:hometown', 'dbo:musicalArtist', 'dbo:recordLabel', 'dbp:label', 'dbp:producer']",factoid,"[[38], [33]]"
3152,0.5,0.2,0.2857142857142857,10,2,5,Name some people working at someplace owned by News Corp.,"[['dbp:owners'], ['dbo:employer']]","['dbo:employer', 'dbo:occupation', 'dbo:owner', 'dbo:owningCompany', 'dbp:employer']",list,"[[6], [18]]"
3156,0.5,0.2,0.2857142857142857,14,2,5,List the origin of the weapons which were used in the American Revolutionary War.,"[['dbo:usedInWar'], ['dbp:origin']]","['dbo:battle', 'dbo:origin', 'dbp:genre', 'dbp:office', 'dbp:origin']",list,"[[3], [12]]"
3178,0.0,0.0,0.0,10,1,5,President of Ghana is the leader title of which country?,[['dbp:leaderTitle']],"['dbo:country', 'dbo:genre', 'dbo:leader', 'dbo:leaderName', 'dbp:leaderName']",list,[[5]]
3180,0.5,0.2,0.2857142857142857,11,2,5,Where does the network cofounded by Seewoosagur Ramgoolam air its shows?,"[['dbp:founder'], ['dbp:broadcastArea']]","['dbo:birthPlace', 'dbo:foundedBy', 'dbo:network', 'dbp:founder', 'dbp:network']",factoid,"[[25], [11]]"
3202,0.5,0.2,0.2857142857142857,11,2,5,What is the occupation of the Irving Chernev and Karen Grigorian?,"[['dbo:occupation'], ['dbo:occupation']]","['dbo:notableWork', 'dbo:occupation', 'dbo:profession', 'dbp:occupation', 'dbp:office']",factoid,"[[629], [629]]"
3214,0.5,0.2,0.2857142857142857,10,2,5,Horses sired by Karinga Bay have participated in which races?,"[['dbo:sire'], ['dbp:race']]","['dbo:associatedBand', 'dbo:grandsire', 'dbo:honours', 'dbo:trainer', 'dbp:race']",list,"[[1], [16]]"
3225,0.5,0.2,0.2857142857142857,15,2,5,List the home town of the people who have Ontario as one of it ?,"[['dbp:homeTown'], ['dbp:homeTown']]","['dbo:birthPlace', 'dbo:hometown', 'dbo:nationality', 'dbp:birthPlace', 'dbp:homeTown']",list,"[[9], [9]]"
3276,0.0,0.0,0.0,19,2,5,"Which indian party has won the arunachal pradesh elections of 2014, and has been in the 4th legislative assembly?","[['dbp:party'], ['dbp:party']]","['dbo:affiliation', 'dbo:country', 'dbo:leaderName', 'dbo:religion', 'dbp:leader']",factoid,"[[17], [17]]"
3285,0.5,0.2,0.2857142857142857,18,2,5,"Who  has these major shrines  : Emmitsburg, Maryland and Shrine of St. Elizabeth Ann Bayley Seton?","[['dbo:majorShrine'], ['dbo:majorShrine']]","['dbo:majorShrine', 'dbp:birthPlace', 'dbp:majorShrine', 'dbp:placeOfBirth', 'dbp:veneratedIn']",factoid,"[[6], [6]]"
